dsp clock from the systime interface: 546045534479
sequence_number, timestamp(us), updated_timestamp(us), acc_x, acc_y, acc_z, ang_x, ang_y, ang_z, temperature_C
258171, 541459569, 546422686, -0.12, 0.13, 1.88, 0.38, -0.38, 0.00, 42.24
258172, 541461583, 546424700, 0.64, 0.62, 0.43, 0.42, -0.22, -0.02, 42.20
258173, 541463567, 546426684, 0.26, 0.77, 1.78, 0.11, -0.17, 0.00, 42.24
258174, 541465581, 546428698, 0.36, 0.13, 0.30, -0.02, 0.07, 0.01, 42.27
258175, 541467565, 546430682, -0.25, -0.37, 1.72, -0.14, 0.33, -0.02, 42.22
258176, 541469579, 546432696, -0.19, -0.78, 0.29, 0.00, 0.26, -0.03, 42.24
258177, 541471563, 546434680, -0.35, -0.45, 0.62, 0.18, 0.01, -0.02, 42.24
258178, 541473578, 546436695, -0.04, 0.05, 2.14, 0.43, -0.39, 0.01, 42.21
258179, 541475562, 546438679, 0.56, 0.63, 0.44, 0.36, -0.20, 0.02, 42.20
258180, 541477667, 546440784, 0.37, 0.80, 1.72, 0.09, -0.15, 0.05, 42.19
258181, 541479560, 546442677, 0.39, 0.29, 0.10, 0.07, 0.11, 0.03, 42.22
258182, 541481574, 546444691, -0.35, -0.18, 1.98, -0.09, 0.32, -0.02, 42.22
258183, 541483558, 546446675, -0.12, -0.79, -0.38, -0.04, 0.29, -0.06, 42.20
258184, 541485572, 546448689, -0.27, -0.42, 1.13, 0.13, -0.06, -0.06, 42.23
258185, 541487587, 546450704, 0.04, -0.22, 2.03, 0.43, -0.46, -0.01, 42.21
258186, 541489571, 546452688, 0.45, 0.56, 0.81, 0.28, -0.19, 0.02, 42.21
258187, 541491585, 546454702, 0.30, 0.68, 1.38, 0.10, -0.02, 0.07, 42.23
258188, 541493569, 546456686, 0.27, 0.38, 0.25, 0.14, 0.25, 0.06, 42.21
258189, 541495583, 546458700, -0.36, 0.02, 1.84, -0.06, 0.31, -0.01, 42.21
